Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
156,"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN90CAFXZC) - 2023 - Titan Black",(8 Reviews),"$4,299.99",15.5,Samsung,LED,75,4K
157,"LG NanoCell 70"" 4K UHD HDR LED webOS Smart TV (70NANO75UQA) - 2022 - Ashed Blue",(489 Reviews),"$1,199.99",$900,LG,LED,70,4K
158,"LG 75"" 4K UHD HDR QNED webOS Smart TV (75QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",(586 Reviews),"$1,799.99",12.2,LG,QNED,75,4K
159,"Toshiba 43"" 4K UHD HDR LED Smart TV (43C350KC) - Fire TV Edition - 2021 - Only at Best Buy",(11 Reviews),$529.99,$100,Toshiba,LED,43,4K
160,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75CU7000FXZC) - 2023 - Titan Grey",(156 Reviews),"$1,399.99",7.5,Samsung,LED,75,4K
161,"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",(436 Reviews),$299.99,NA,Insignia,LED,24,1080p
162,"Samsung 98"" 8K UHD HDR QLED Tizen Smart TV (QN98Q900RBFXZC)",(161 Reviews),"$99,999.99","$3,000",Samsung,LED,98,NA
163,"Sony BRAVIA XR 100"" 4K UHD HDR LED Google Smart TV (XR100X92) - 2021",(8 Reviews),"$16,999.99",NA,Sony,LED,100,4K
164,"Samsung The Frame 32"" 1080p HD HDR QLED Tizen Smart TV (QN32LS03BBFXZC) - 2022 - Charcoal Black",(8 Reviews),$699.95,$100,Samsung,LED,32,1080p
165,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q80CAFXZC) - 2023 - Titan Black",(23 Reviews),"$1,699.99",15.5,Samsung,LED,65,4K
166,"Sony BRAVIA XR X90J 50"" 4K UHD HDR LED Smart Google TV (XR50X90J) - 2021",(4975 Reviews),"$1,199.99",15.5,Sony,LED,50,4K
167,"Sony X85K 75"" 4K UHD HDR LED Smart Google TV (KD75X85K) - 2022",(242 Reviews),"$1,899.99",15.5,Sony,LED,75,4K
168,"LG 77"" G2 4K UHD HDR OLED webOS Evo Gallery Smart TV (OLED77G2PUA) - 2022 - Satin Silver",(190 Reviews),"$6,999.99",12.2,LG,OLED,77,4K
169,"Samsung 43"" 4K UHD HDR QLED Smart TV (QN43Q60CAFXZC) - 2023 - Titan Grey",(105 Reviews),$749.99,12.2,Samsung,LED,43,4K
170,"Sony BRAVIA XR A90K 42"" 4K UHD HDR OLED Smart Google TV (XR42A90K) - 2022",(151 Reviews),"$1,749.99",NA,Sony,OLED,42,4K
171,"TCL 32"" S-Series 1080p HD HDR LED Smart Google TV (32S350G-CA) - 2023",(0 Reviews),$199.99,$100,NA,LED,32,1080p
172,"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q80CAFXZC) - 2023 - Titan Black",(23 Reviews),"$1,199.99",$65,Samsung,LED,50,4K
173,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q75AAFXZC) - Only at Best Buy - Open Box",(4 Reviews),"$1,039.99",$60,Samsung,LED,65,4K
174,"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC) -2022 -Charcoal Black -Open Box",(1 Review),$959.99,NA,Samsung,LED,43,4K
175,"TCL 6-Series 75"" 4K UHD HDR QLED Roku OS Smart TV (75R635-CA)",(435 Reviews),"$1,999.99",$150,NA,LED,75,4K
176,"Samsung 75"" 4K UHD Neo QLED Tizen Smart TV (QN75QN90BAFXZC) - Titan Black - Open Box",(0 Reviews),"$2,399.99",15.5,Samsung,LED,75,4K
177,"LG G3 83"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED83G3PUA) - 2023 - Satin Silver",(18 Reviews),"$7,999.99",15.5,LG,OLED,83,4K
178,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU7000FXZC) - 2023 - Titan Grey",(120 Reviews),"$2,199.99",12.2,Samsung,LED,85,4K
179,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey - Open Box",(0 Reviews),$399.99,$200,LG,LED,43,4K
180,"Sony BRAVIA XR A95K 65"" 4K UHD HDR OLED Smart Google TV (XR65A95K) - 2022 - Open Box",(1 Review),"$3,199.99",$200,Sony,OLED,65,4K
181,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU8000FXZC) - 2023",(79 Reviews),"$2,299.99",15.5,Samsung,LED,85,4K
182,"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q60CAFXZC) - 2023 - Titan Grey",(95 Reviews),$849.99,12.2,Samsung,LED,50,4K
183,"Open Box - Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",(1 Review),$179.99,$18,Insignia,LED,32,720p
184,"Open Box - Samsung 43"" 1080p HD LED Tizen Smart TV (UN43N5300AFXZC) - Glossy Black",(2 Reviews),$279.99,$300,Samsung,LED,43,1080p
185,"Toshiba 75"" 4K UHD HDR LED Smart TV (75C350KC) - Fire TV Edition - 2021 - Only at Best Buy",(4 Reviews),$999.99,$64,Toshiba,LED,75,4K
186,"Sony X75K 65"" 4K UHD HDR LED Smart Google TV (KD65X75K) - 2022 - Open Box",(0 Reviews),$679.99,NA,Sony,LED,65,4K
187,"TCL 75"" Q-Series 4K UHD HDR QLED Smart Google TV (75Q650G-CA) - 2023",(0 Reviews),"$1,199.99",15.5,TCL 75,LED,75,4K
188,"LG NanoCell 86"" 4K UHD HDR LED webOS Smart TV (86NANO75UQA) - 2022 - Ashed Blue",(1 Review),"$1,999.99",$500,LG,LED,86,4K
189,"Samsung The Serif 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS01BAFXZC) - 2022 - Cloud White",(47 Reviews),"$2,099.99",12.2,Samsung,LED,65,4K
190,"Open Box - Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23) - Fire TV Edition - 2022",(2 Reviews),$169.99,15.5,Insignia,LED,32,1080p
191,"Sony X85K 85"" 4K UHD HDR LED Smart Google TV (KD85X85K) - 2022",(273 Reviews),"$2,499.99",$150,Sony,LED,85,4K
192,"Insignia 65"" 4K UHD HDR LCD Smart TV (NS-65DF710CA21) - Fire TV Edition - 2020 - Only at Best Buy",(1871 Reviews),$599.97,15.5,Insignia,LCD,65,4K
193,"Open Box - Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70TU7000FXZC) - Titan Grey",(0 Reviews),$799.99,15.5,Samsung,LED,70,4K
194,"Sony BRAVIA XR X95K 75"" 4K UHD HDR Mini-LED Smart Google TV (XR75X95K) - 2022",(192 Reviews),"$4,199.97",$200,Sony,LED,75,4K
195,"Samsung The Serif 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS01BAFXZC) - 2022 - Cloud White",(48 Reviews),"$1,099.99",$500,Samsung,LED,43,4K
196,"Samsung The Terrace 55"" 4K UHD HDR QLED Tizen Outdoor Smart TV (QN55LST7TAFXZC) - Titan Black",(4 Reviews),"$3,499.99",$300,Samsung,LED,55,4K
197,"Samsung 85"" 4K UHD HDR Neo QLED Tizen Smart TV (QN85QN90CAFXZC) - 2023 - Titan Black",(5 Reviews),"$5,999.99",NA,Samsung,LED,85,4K
198,"TCL 3-Series 32"" 1080p HD LED Smart Google TV (32S356-CA) - 2022",(3 Reviews),$199.99,$55,NA,LED,32,1080p
199,"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022 - Open Box",(4 Reviews),$879.99,$500,Sony,LED,65,4K
200,"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q80BAFXZC) - Titan Black",(132 Reviews),"$1,999.97",$25,Samsung,LED,75,4K
201,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43AU8000FXZC) - 2021",(2 Reviews),$399.99,NA,Samsung,LED,43,4K
202,"TCL 4-Series 75"" 4K UHD LED Direct Lit Roku OS Smart TV (75S45-CA) - 2022",(161 Reviews),$899.99,12.2,NA,LED,75,4K
203,"Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",(317 Reviews),$349.99,15.5,Insignia,LED,32,1080p
204,"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q60CAFXZC) - 2023 - Titan Grey",(94 Reviews),"$2,899.99",15.5,Samsung,LED,85,4K
205,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU8000FXZC) - 2023",(60 Reviews),$749.99,$200,Samsung,LED,50,4K
206,"Refurbished (Good) - Onn. 55"" Class 4K UHD HDR Roku Smart LED TV (100012586)",(0 Reviews),$299.99,NA,NA,LED,55,4K
207,"TCL 6-Series 65"" 4K UHD HDR QLED Mini-LED Smart Google TV (65R646-CA) - 2021",(707 Reviews),"$1,299.99",15.5,NA,LED,65,4K
208,"Samsung 65"" 8K UHD Neo QLED Tizen Smart TV (QN65QN800BFXZC) - Stainless Steel",(72 Reviews),"$3,199.95",$59,Samsung,LED,65,NA
209,"Sony X80K 50"" 4K UHD HDR LED Smart Google TV (KD50X80K) - 2022 - Open Box",(2 Reviews),$663.99,$750,Sony,LED,50,4K
210,Samsung – 65 Inch QN90B Neo QLED 4K UHD HDR 32X Dolby Atmos Gaming Smart TV [QN65QN90BAFXZC] [Canada Version] (2022) - Open Box - 10/10 Condition,(0 Reviews),"$1,549.99",$300,Samsung,LED,NA,4K
211,"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ9000PUD) - 2022 - Titan Grey",(4 Reviews),$999.99,NA,LG,LED,70,4K
212,"TCL 75"" Q-Series 4K UHD HDR QLED Smart Google TV (75Q750G-CA) - 2023",(0 Reviews),"$1,599.99",15.5,TCL 75,LED,75,4K
213,"LG 48"" 4K UHD HDR OLED webOS ThinQ AI Smart TV (OLED48A2PUA) - 2022",(897 Reviews),"$1,499.99",12.2,LG,OLED,48,4K
214,"Samsung 32"" 1080p HD HDR QLED Tizen Smart TV (QN32Q50AAFXZC) - 2021",(49 Reviews),$499.95,"$6,299.99",Samsung,LED,32,1080p
215,"Samsung 65"" 8K UHD HDR Neo QLED Tizen Smart TV (QN65QN900CFXZC) - 2023 - Titan Black",(44 Reviews),NA,NA,Samsung,LED,65,NA
216,"TCL 3-Series 32"" 1080p HD LED Roku Smart TV (32S327-CA)",(309 Reviews),$199.97,$100,NA,LED,32,1080p
217,"TCL 4-Series 75"" 4K UHD HDR LED Roku Smart TV (75S455-CA) - 2022",(194 Reviews),$999.99,$65,NA,LED,75,4K
218,"Open Box - Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75AU8000FXZC) - 2021",(1 Review),"$1,039.99",15.5,Samsung,LED,75,4K
219,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q60CAFXZC) - 2023 - Titan Grey",(96 Reviews),"$1,999.99",15.5,Samsung,LED,75,4K
220,"Toshiba 65"" 4K UHD HDR LED Smart TV (65C350KC) - Fire TV Edition - 2021 - Only at Best Buy",(4 Reviews),$949.99,15.5,Toshiba,LED,65,4K
221,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7570PUJ) - 2023 - Black",(0 Reviews),$529.99,"$8,299.99",LG,LED,50,4K
222,"Samsung 75"" 8K UHD HDR Neo QLED Tizen Smart TV (QN75QN900CFXZC) - 2023 - Titan Black",(27 Reviews),NA,15.5,Samsung,LED,75,NA
223,"Hisense 65"" 4K UHD HDR LED Android Smart TV (65A68G) - 2021",(10 Reviews),$659.97,15.5,Hisense,LED,65,4K
224,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q70CAFXZC) - 2023",(32 Reviews),"$2,299.99",$500,Samsung,LED,75,4K
225,"TCL 6-Series 75"" 8K UHD HDR QLED Roku OS Smart TV (75R648-CA) - 2021",(19 Reviews),"$2,299.99","$7,699.99",NA,LED,75,NA
226,"Samsung 85"" 8K UHD HDR Neo QLED Tizen Smart TV (QN85QN800CFXZC) - 2023 - Titan Black",(8 Reviews),NA,12.2,Samsung,LED,85,NA
227,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU8000FXZC) - 2023",(57 Reviews),$649.99,$200,Samsung,LED,43,4K
228,"TCL 4-Series 55"" 4K UHD HDR LED Smart Google TV (55S446-CA) - 2021 -Open Box",(0 Reviews),$399.99,"$4,299.99",NA,LED,55,4K
229,"Samsung 65"" 8K UHD HDR Neo QLED Tizen Smart TV (QN65QN800CFXZC) - 2023 - Titan Black",(12 Reviews),NA,$43,Samsung,LED,65,NA
230,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q60BAFXZC) - Titan Grey - Open Box",(2 Reviews),$679.99,NA,Samsung,LED,55,4K
231,"Sony X80K 43"" 4K UHD HDR LED Smart Google TV (KD43X80K) - 2022 - Open Box",(1 Review),$599.99,12.2,Sony,LED,43,4K
232,"Samsung 32"" 4K UHD HDR QLED Tizen Smart TV (QN32Q60AAFXZC) - 2021 - Titan Grey",(848 Reviews),$599.95,15.5,Samsung,LED,32,4K
233,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7590PUB) - 2022 - Dark Iron Grey - Open Box",(1 Review),$519.99,$50,LG,LED,50,4K
234,"TCL 4-Series 65"" 4K UHD HDR LED Android Smart TV (65S434-CA) - 2021",(128 Reviews),$649.99,$100,NA,LED,65,4K
235,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q80CAFXZC) - 2023 - Titan Black",(23 Reviews),"$2,599.99",12.2,Samsung,LED,75,4K
236,"Open Box - Insignia 40"" 1080p HDR LED TV (NS-40D510CA21) - 2020",(0 Reviews),$259.99,NA,Insignia,LED,40,1080p
237,"Amazon Fire TV Omni 43"" 4K UHD HDR LED Smart TV (B08T6LD72Q) - 2021",(5 Reviews),$429.97,$100,Amazon fire TV,LED,43,4K
238,"Samsung 55"" 4K UHD HDR Neo QLED Tizen Smart TV (QN55QN90CAFXZC) - 2023 - Titan Black",(4 Reviews),"$2,299.99",$60,Samsung,LED,55,4K
239,"Sony BRAVIA 55"" 4K UHD HDR LED Google TV Smart TV (XR55X90K) - 2022 - Open Box",(2 Reviews),$959.99,15.5,Sony,LED,55,4K
240,"Sony BRAVIA XR A90J 83"" 4K UHD HDR OLED Smart Google TV (XR83A90J) - 2021",(984 Reviews),"$7,199.99",15.5,Sony,OLED,83,4K
241,"Open Box - Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55AU8000FXZC) - 2021",(2 Reviews),$599.99,15.5,Samsung,LED,55,4K
242,"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q70CAFXZC) - 2023",(33 Reviews),"$3,199.99",15.5,Samsung,LED,85,4K
243,"Samsung 65"" 4K UHD QLED Tizen OS Smart TV (QN65QN85CAFXZC) - 2023 - Titan Black",(20 Reviews),"$2,499.99",$115,Samsung,LED,65,4K
244,"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03BAFXZC) -2022 -Charcoal Black -Open Box",(0 Reviews),"$1,839.99",NA,Samsung,LED,65,4K
245,"Toshiba 32"" 720p HD LED Smart TV (32V35C) - Fire TV Edition - 2021",(9 Reviews),$349.99,15.5,Toshiba,LED,32,720p
246,"Sony 85"" 4K UHD HDR LED Smart Google TV (XR85X95L) - 2023",(0 Reviews),"$6,999.99",15.5,Sony,LED,85,4K
247,"LG 48"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED48C2PUA) - 2022 - Dark Titan Silver - Open Box",(0 Reviews),"$1,359.99",NA,LG,OLED,48,4K
248,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey - Open Box",(0 Reviews),$959.99,$400,Samsung,LED,65,4K
249,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C2PUA) - 2022 - Dark Titan Silver OPEN BOX 10/10",(0 Reviews),"$1,999.99",$95,LG,OLED,65,4K
250,"Samsung 55"" 4K UHD OLED Tizen Smart TV (QN55S95BAFXZC) - Open Box",(6 Reviews),"$1,519.99",15.5,Samsung,OLED,55,4K
251,"Sony 65"" 4K UHD HDR LED Smart Google TV (XR65X93L) - 2023",(0 Reviews),"$3,099.99",15.5,Sony,LED,65,4K
252,"Samsung 98"" 4K UHD HDR QLED Tizen OS Smart TV (QN98QN90AAFXZC) - 2021 - Titan Black - Open Box",(0 Reviews),"$16,799.99",$80,Samsung,LED,98,4K
253,"Sony BRAVIA XR 65"" 4K UHD HDR OLED Google TV Smart TV (XR65A80K) - 2022 - Titanium Black - Open Box",(1 Review),"$1,919.99",$500,Sony,OLED,65,4K
254,"Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN88BAFXZC) - Titan Black - Only at Best Buy",(7 Reviews),"$2,099.97",15.5,Samsung,LED,65,4K
255,"LG 83"" G2 4K UHD HDR OLED webOS Evo Gallery Smart TV (OLED83G2PUA) - 2022 - Satin Silver",(0 Reviews),"$9,999.99",15.5,LG,OLED,83,4K
256,"LG 65"" 4K UHD HDR OLED webOS Smart TV (OLED65A1PUA) - 2021 - Open Box",(883 Reviews),"$1,444.99",$340,LG,OLED,65,4K
257,"Refurbished (Good) - VIZIO 65"" Class 4k UHD LED SmartCast Smart TV HDR V-Series (V655-J)",(0 Reviews),$449.99,15.5,VIZIO,LED,65,NA
258,"Samsung 55"" 4K UHD HDR OLED Tizen Smart TV (QN55S90CAFXZC) - 2023 - Titan Black",(18 Reviews),"$2,399.99",NA,Samsung,OLED,55,4K
259,"TCL 4-Series 65"" 4K UHD HDR LED Smart Google TV (65S446-CA) - 2021",(277 Reviews),$699.99,NA,NA,LED,65,4K
260,"Sony X80K 55"" 4K UHD HDR LED Smart Google TV (KD55X80K) - 2022 - Open Box",(2 Reviews),$719.99,$250,Sony,LED,55,4K
261,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU7000FXZC) - Titan Grey OPEN BOX with One Year DC Canada Warranty",(0 Reviews),$549.99,$200,Samsung,LED,55,4K
262,"TCL 4-Series 43"" 4K UHD HDR LED Smart Google TV (43S446-CA) - 2021 - Open Box",(0 Reviews),$299.99,$600,NA,LED,43,4K
263,"Samsung The Terrace 65"" 4K UHD HDR QLED Tizen Outdoor Smart TV (QN65LST7TAFXZC) - Titan Black",(4 Reviews),"$4,899.99",$100,Samsung,LED,65,4K
264,"Samsung 43"" 4K UHD HDR Neo QLED Tizen Smart TV (QN43QN90CAFXZC) - 2023 - Titan Black",(8 Reviews),"$1,599.99",NA,Samsung,LED,43,4K
265,"Samsung The Frame 75"" 4K UHD HDR QLED Tizen Smart TV (QN75LS03BAFXZC) -2022 -Black -Open Box",(0 Reviews),"$2,399.99",15.5,Samsung,LED,75,4K
266,"Samsung 55"" 4K UHD HDR OLED Tizen Smart TV (QN55S92CAFXZC) - 2023 - Titan Black",(0 Reviews),"$2,499.99",15.5,Samsung,OLED,55,4K
267,"Open Box - Sony 85"" 4K UHD HDR LED Google Smart TV (KD85X85J) - 2021",(0 Reviews),"$1,989.99",$20,Sony,LED,85,4K
268,"Sony W830K 32"" 720p HD HDR LED Smart Google TV (KD32W830K) - 2022 - Open Box",(0 Reviews),$319.99,$450,Sony,LED,32,720p
269,"Refurbished (Good) - SAMSUNG 65"" Class TU700D-Series Crystal Ultra HD 4K Smart TV ( UN65TU7000B)",(0 Reviews),$549.99,$20,Samsung,NA,65,Ultra HD
270,"Open Box - LG 65"" 4K UHD HDR OLED webOS Smart TV (OLED65B2PUA) - 2022",(0 Reviews),"$1,439.99",$201,LG,OLED,65,4K
271,"LG 50"" 4K UHD HDR QNED webOS Smart TV (50QNED80URA) - 2023 - Ashed Blue",(6 Reviews),$998.98,15.5,LG,QNED,50,4K
272,"Sony 77"" 4K UHD HDR OLED Smart Google TV (XR77A80L) - 2023",(0 Reviews),"$4,999.99",$95,Sony,OLED,77,4K
273,"Sony BRAVIA XR 55"" 4K UHD HDR OLED Google TV Smart TV (XR55A80K) - 2022 - Titanium Black - Open Box",(0 Reviews),"$1,519.99",$500,Sony,OLED,55,4K
274,"Open Box 10/10 - LG 55"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED55C2PUA) - 2022 - Dark Titan Silver",(0 Reviews),"$1,299.99",15.5,LG,OLED,55,4K
275,"Open Box - Samsung 50"" 4K UHD HDR QLED Tizen OS Smart TV (QN50Q80AAFXZC) - 2021 - Titan Black",(2 Reviews),$934.99,"$1,000",Samsung,LED,50,4K
276,"Sony BRAVIA XR Z9K 85"" 8K UHD HDR Mini-LED Smart Google TV (XR85Z9K) - 2022",(9 Reviews),"$10,999.99",15.5,Sony,LED,85,NA
277,"LG NanoCell 86"" 4K UHD HDR LED webOS Smart TV (86NANO75UPA) - 2021 - Open Box",(877 Reviews),"$1,699.99",NA,LG,LED,86,4K
278,"TCL 32"" S-Series 720p HD LED Roku OS Smart TV (32S250R-CA) - 2023",(0 Reviews),$179.99,$45,NA,LED,32,720p
279,"Samsung 85"" 4K UHD HDR QLED Tizen Smart TV (QN85Q75AAFXZC) - Only at Best Buy - Open Box",(0 Reviews),"$2,079.99",$100,Samsung,LED,85,4K
280,"Samsung The Serif 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS01BAFXZC) - 2022 - Cloud White",(47 Reviews),"$1,499.99",$300,Samsung,LED,55,4K
281,"LG 86"" 4K UHD HDR QNED webOS Smart TV (86QNED85UQA) - 2022 - Dark Titan Silver/Ashed Blue",(2 Reviews),"$4,499.99",15.5,LG,QNED,86,4K
282,"LG 65"" 4K UHD HDR OLED webOS Smart TV (OLED65C1AUB) - 2021",(3498 Reviews),"$2,099.97",15.5,LG,OLED,65,4K
283,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S90CAFXZC) - 2023 - Titan Black",(26 Reviews),"$3,299.99",15.5,Samsung,OLED,65,4K
284,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S92CAFXZC) - 2023 - Titan Black",(0 Reviews),"$3,399.99",$175,Samsung,OLED,65,4K
285,"LG 55"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED55C2PUA) - 2022 - Dark Titan Silver - Open Box",(2 Reviews),"$1,439.99",15.5,LG,OLED,55,4K
286,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ9000PUD) - 2022 - Titan Grey",(604 Reviews),$799.99,NA,LG,LED,50,4K
287,"TCL Class XL 98"" 4K UHD HDR QLED Smart Google TV (98R754-CA) - 2022",(0 Reviews),"$9,999.99",$300,NA,LED,98,4K
288,"LG 75"" 4K UHD HDR QNED webOS Smart TV (75QNED85UQA) - 2022 - Dark Titan Silver/Ashed Blue",(235 Reviews),"$2,999.99",15.5,LG,QNED,75,4K
289,"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED85UQA) - 2022 - Dark Titan Silver/Ashed Blue",(297 Reviews),"$1,499.99",$35,LG,QNED,55,4K
290,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q80BAFXZC) - Titan Black - Open Box",(1 Review),$899.99,NA,Samsung,LED,55,4K
291,"Philips 50"" 4K UHD HDR LCD Direct Lit Roku Smart TV (50PUL6673/F6) - 2023",(0 Reviews),$449.99,NA,NA,LCD,50,4K
292,"Samsung 50"" 4K UHD HDR Neo QLED Tizen Smart TV (QN50QN90CAFXZC) - 2023 - Titan Black",(7 Reviews),"$1,999.99",$80,Samsung,LED,50,4K
293,"Refurbished (Good) - ONN. 32"" Class HD (720P) Roku Smart LED TV (100012589)",(0 Reviews),$119.99,15.5,NA,LED,32,NA
294,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55CU8000FXZC) - 2023",(70 Reviews),$849.99,15.5,Samsung,LED,55,4K
295,"Samsung 85"" 4K UHD QLED Tizen OS Smart TV (QN85QN85CAFXZC) - 2023 - Titan Black",(16 Reviews),"$4,999.99",15.5,Samsung,LED,85,4K
296,"Sony 65"" 4K UHD HDR OLED Smart Google TV (XR65A80L) - 2023",(0 Reviews),"$3,299.99",15.5,Sony,OLED,65,4K
297,"Samsung 75"" 8K UHD QLED Tizen Smart TV (QN75QN900BFXZC) - Stainless Steel",(35 Reviews),"$6,499.95",15.5,Samsung,LED,75,NA
298,"Open Box - Samsung 85"" 4K UHD HDR QLED Tizen OS Smart TV (QN85Q70AAFXZC) - 2021",(1 Review),"$2,299.99",$500,Samsung,LED,85,4K
299,"TCL 6-Series 65"" 8K UHD HDR QLED Roku OS Smart TV (65R648-CA) - 2021",(26 Reviews),"$1,999.99",15.5,NA,LED,65,NA
300,"Sony 75"" 4K UHD HDR LED Smart Google TV (XR75X93L) - 2023",(0 Reviews),"$4,199.99",$700,Sony,LED,75,4K
301,"Samsung The Terrace 75"" 4K UHD HDR QLED Tizen Outdoor Smart TV (QN75LST7TAFXZC) - Titan Black",(5 Reviews),"$6,299.99",$500,Samsung,LED,75,4K
302,Samsung – 75 inch Q80B QLED 4K UHD HDR 12X Full Array Dolby Atmos® Gaming Smart TV [QN75Q80BAFXZC] - Open Box - 10/10 Condition,(0 Reviews),"$1,499.99",$319,Samsung,LED,NA,4K
303,"Samsung The Frame 50"" 4K UHD HDR QLED Tizen Smart TV (QN50LS03BAFXZC) -2022 -Charcoal Black -Open Box",(0 Reviews),"$1,079.99",12.2,Samsung,LED,50,4K
304,"Sony X85K 43"" 4K UHD HDR LED Smart Google TV (KD43X85K) - 2022 - Open Box",(0 Reviews),$679.99,$75,Sony,LED,43,4K
305,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q80BAFXZC) - Titan Black - Open Box",(2 Reviews),"$1,199.99",15.5,Samsung,LED,65,4K
306,"Samsung 85"" 8K UHD QLED Tizen Smart TV (QN85QN900BFXZC) - Stainless Steel",(35 Reviews),"$8,499.95",$500,Samsung,LED,85,NA
307,"Sony BRAVIA XR Z9K 75"" 8K UHD HDR Mini-LED Smart Google TV (XR75Z9K) - 2022",(10 Reviews),"$7,499.99","$1,300",Sony,LED,75,NA
308,Samsung – 75 Inch QN90B Neo QLED 4K UHD HDR 32X Dolby Atmos Gaming Smart TV [QN75QN90BAFXZC] [Canada Version] (2022),(0 Reviews),"$2,699.99",$200,Samsung,LED,NA,4K
309,"Refurbished (Good) onn. 50” QLED 4K UHD (2160p) Roku Smart TV with Dolby Atmos, Dolby Vision, Local Dimming, 120hz Effective Refresh Rate, and HDR (100071700)",(0 Reviews),$349.99,$70,NA,LED,NA,4K
310,"Refurbished (Good) - VIZIO 24"" Class HD LED Smart TV D-Series (D24h-J09)",(1 Review),$129.99,15.5,VIZIO,LED,24,NA
311,"Samsung 75"" 4K UHD QLED Tizen OS Smart TV (QN75QN85CAFXZC) - 2023 - Titan Black",(16 Reviews),"$3,499.99",$115,Samsung,LED,75,4K
312,"Open Box - Samsung 32"" 4K UHD HDR QLED Tizen Smart TV (QN32Q60AAFXZC) - 2021 - Titan Grey",(1 Review),$479.99,15.5,Samsung,LED,32,4K
313,"Open Box - Samsung 60"" 4K UHD HDR QLED Tizen Smart TV (QN60Q62AAFXZC) - Titan Grey - Only at Best Buy",(0 Reviews),"$1,019.99",NA,Samsung,LED,60,4K
314,"TCL 75"" S-Series 4K UHD HDR LED Smart Google TV (75S450G-CA) - 2023",(0 Reviews),$999.99,15.5,TCL 75,LED,75,4K
315,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7590PUB) - 2022 - Dark Iron Grey - Open Box",(0 Reviews),$719.99,15.5,LG,LED,65,4K
